# Argument List:
# Name = 8481_5fold_gene_score.txt
# peak file = ./fold/8481_tmp
# decay = 10000 bp
# genome = /project/dev/rongbin/xy/rp/hg38_refGene.bed
#chrom	txStart	txEnd	refseq	score	strand	symbol
chr2	218323153	218346792	XM_017003772.1	2.731	+	PNKD
chr15	52019230	52066264	XM_005254538.2	2.731	+	MAPK6
chr22	38734726	38755781	XM_024452206.1	2.730	-	SUN2
chr17	75165585	75182958	NM_001005849.2	2.730	-	SUMO2
chr17	75165585	75182958	NM_006937.4	2.730	-	SUMO2
chr19	48619290	48630405	NM_001243876.1	2.730	+	SPHK2
chr19	48954874	48961797	NM_001291428.2	2.730	+	BAX
chr19	48954874	48961797	NM_001291429.2	2.730	+	BAX
chr19	48954874	48961797	NM_001291431.2	2.730	+	BAX
chr19	48954874	48961797	NM_004324.4	2.730	+	BAX
chr19	48954874	48961797	NM_138761.4	2.730	+	BAX
chr19	48954874	48961797	NM_138763.4	2.730	+	BAX
chr19	48954874	48961797	NM_138764.5	2.730	+	BAX
chr11	62602217	62612393	XM_006718489.4	2.730	-	EML3
chr13	36430487	36442869	XM_011535294.2	2.730	+	CCNA1
chr13	36430487	36442869	XM_011535295.2	2.730	+	CCNA1
chr19	58477178	58489532	NM_001304453.1	2.730	+	ZNF446
chrX	154413231	154421725	XM_017029764.1	2.730	+	TAZ
chr3	167683893	167734561	XM_006713485.4	2.730	-	PDCD10
chr14	71320505	71741043	XM_017021178.1	2.730	+	SIPA1L1
chr14	71320505	71741043	XM_024449530.1	2.730	+	SIPA1L1
chr15	52019245	52066264	XM_011521782.1	2.730	+	MAPK6
chr19	48954859	48961261	NM_001291430.1	2.729	+	BAX
chr6	16299111	16761489	NM_000332.3	2.729	-	ATXN1
chr6	16299111	16761489	NM_001128164.1	2.729	-	ATXN1
chr1	153561107	153565843	NM_001366407.1	2.729	-	S100A2
chr1	153561107	153565843	NM_005978.4	2.729	-	S100A2
chr12	108288043	108320661	NM_001142345.1	2.729	-	CMKLR1
chr4	42110932	42152379	XM_017008185.1	2.729	-	BEND4
chr13	113001713	113099741	NM_001320815.2	2.729	+	MCF2L
chr13	113001713	113090182	NM_001320817.2	2.729	+	MCF2L
chr13	113001713	113099738	NM_024979.4	2.729	+	MCF2L
chr6	41683977	41723564	XM_005249412.1	2.729	-	TFEB
chr14	71320475	71741208	NM_001284245.3	2.729	+	SIPA1L1
chr14	71320475	71741208	NM_001354285.2	2.729	+	SIPA1L1
chr14	71320475	71741208	NM_001354286.2	2.729	+	SIPA1L1
chr14	71320475	71741208	NM_001354287.2	2.729	+	SIPA1L1
chr14	71320475	71741208	NM_001354288.2	2.729	+	SIPA1L1
chr14	71320475	71741208	NM_001354289.2	2.729	+	SIPA1L1
chr14	71320475	71741208	NM_015556.4	2.729	+	SIPA1L1
chr13	113001716	113098549	XM_011537487.1	2.728	+	MCF2L
chr3	167683893	167734553	XM_017005644.2	2.728	-	PDCD10
chr6	16299111	16761459	NM_001357857.2	2.728	-	ATXN1
chr2	218381765	218396893	XM_005246793.4	2.728	+	SLC11A1
chr2	218381765	218396893	XM_005246794.4	2.728	+	SLC11A1
chr2	218381765	218396893	XM_006712709.4	2.728	+	SLC11A1
chr2	218381765	218396893	XM_006712710.4	2.728	+	SLC11A1
chr2	218381765	218396893	XM_006712711.4	2.728	+	SLC11A1
chr2	218381765	218396893	XM_011511684.3	2.728	+	SLC11A1
chr2	218381765	218396893	XM_011511685.3	2.728	+	SLC11A1
chr2	218381765	218396893	XM_017004765.2	2.728	+	SLC11A1
chr2	218381765	218396893	XM_017004766.2	2.728	+	SLC11A1
chr19	14529619	14565979	XM_006722945.2	2.728	+	TECR
chr19	14529619	14565979	XM_024451791.1	2.728	+	TECR
chr19	48954824	48961797	XM_017027077.1	2.728	+	BAX
chr2	101032297	101110366	XM_017003200.2	2.728	-	TBC1D8
chr1	110593579	110631439	NM_001204269.2	2.728	-	KCNA2
chr17	29071121	29140388	NM_001346768.2	2.727	-	MYO18A
chr10	88819895	88851843	NM_144590.3	2.727	-	ANKRD22
chr6	149658152	149717942	XM_017011480.1	2.727	-	LATS1
chr6	26270917	26271383	NM_003534.2	2.727	-	H3C8
chr12	31647159	31669081	NM_001135864.1	2.727	+	ETFBKMT
chr17	3896590	3916505	XM_006721529.2	2.727	-	P2RX1
chr17	3896590	3916505	XM_011523897.2	2.727	-	P2RX1
chr17	3896590	3916500	XM_011523898.3	2.727	-	P2RX1
chr17	3896590	3916500	XM_011523899.3	2.727	-	P2RX1
chr17	3898932	3916500	XM_011523900.3	2.727	-	P2RX1
chr4	87975649	87983410	NM_000582.2	2.727	+	SPP1
chr4	87975649	87983410	NM_001040060.1	2.727	+	SPP1
chr4	87975649	87983410	NM_001251829.1	2.727	+	SPP1
chr4	87975649	87983410	NM_001251830.1	2.727	+	SPP1
chr16	23835982	24220610	NM_002738.7	2.727	+	PRKCB
chr16	23835982	24220610	NM_212535.3	2.727	+	PRKCB
chr22	38734726	38755911	XM_024452205.1	2.727	-	SUN2
chr17	3896591	3916464	NM_002558.4	2.727	-	P2RX1
chr17	3896590	3916461	XM_011523896.3	2.727	-	P2RX1
chr19	14529597	14565979	XM_024451796.1	2.727	+	TECR
chr19	14529597	14565979	XM_024451797.1	2.727	+	TECR
chr19	14529597	14565979	XM_024451799.1	2.727	+	TECR
chr14	71320417	71741043	XM_017021177.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_017021179.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_017021180.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_017021197.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_017021198.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_017021199.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_024449529.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_024449532.1	2.727	+	SIPA1L1
chr14	71320417	71741043	XM_024449536.1	2.727	+	SIPA1L1
chr2	42767088	42801001	XM_005264230.4	2.727	-	HAAO
chr2	42767088	42801001	XM_011532729.3	2.727	-	HAAO
chr2	42767088	42801001	XM_011532730.3	2.727	-	HAAO
chr2	42767088	42801001	XM_011532731.3	2.727	-	HAAO
chr2	42767086	42801001	XM_024452774.1	2.727	-	HAAO
chr19	55403962	55408438	XM_011526752.2	2.727	-	UBE2S
chr3	167683900	167734543	XM_005247088.4	2.727	-	PDCD10
chr19	14529594	14565979	XM_024451794.1	2.727	+	TECR
chr19	14529594	14565979	XM_024451795.1	2.727	+	TECR
chr19	14529593	14565979	NM_138501.6	2.726	+	TECR
chr1	173183728	173207007	XM_017002228.1	2.726	-	TNFSF4
chrX	154547846	154565045	NM_003639.4	2.726	+	IKBKG
chrX	130110632	130184872	XM_017029963.2	2.726	+	RAB33A
chr1	203769637	203776371	NM_001282878.1	2.726	+	LAX1
chr1	27534248	27604177	XM_011541255.1	2.726	-	AHDC1
chr2	101028338	101110358	XM_017003201.2	2.726	-	TBC1D8
chr2	200853008	200864657	NM_004071.4	2.726	-	CLK1
chr10	70478766	70568449	NM_014431.3	2.726	+	PALD1
chr14	24161264	24166564	NM_006084.5	2.726	+	IRF9
chr18	673880	706543	XM_017025837.1	2.726	-	ENOSF1
chr5	180784779	180803852	NM_001364389.2	2.725	-	MGAT1
chr5	180784779	180803852	NM_001364390.2	2.725	-	MGAT1
chr17	28724347	28726930	NM_001160407.1	2.725	-	TLCD1
chr14	77800135	77933951	XM_017021476.1	2.725	+	ADCK1
chr19	48619505	48630404	NM_001204158.3	2.725	+	SPHK2
chr19	48619505	48630404	NM_001204159.3	2.725	+	SPHK2
chr19	48619505	48630404	NM_020126.5	2.725	+	SPHK2
chr17	78112917	78131284	XM_024450556.1	2.725	-	TMC6
chr19	16134027	16158574	NM_032855.3	2.725	+	HSH2D
chr17	8368636	8371539	NM_213597.3	2.725	-	KRBA2
chr6	41267384	41286691	XM_011514696.2	2.725	-	TREM1
chr6	41267384	41286691	XM_017010956.2	2.725	-	TREM1
chr16	11547721	11586372	NM_004862.3	2.725	-	LITAF
chr1	36455717	36464383	NM_031280.4	2.725	-	MRPS15
chr15	41848145	41887185	XM_017022301.1	2.724	-	SPTBN5
chr19	14529559	14565979	NM_001321170.1	2.724	+	TECR
chr22	38734733	38755997	NM_001199579.2	2.724	-	SUN2
chr22	38734733	38755997	NM_015374.3	2.724	-	SUN2
chr13	36432494	36442869	NM_003914.4	2.724	+	CCNA1
chr6	41279536	41286681	NM_001242589.3	2.724	-	TREM1
chr6	41273604	41286681	NM_001242590.3	2.724	-	TREM1
chr6	41273604	41286681	NM_018643.5	2.724	-	TREM1
chr6	41268018	41286681	XM_006715117.3	2.724	-	TREM1
chr6	41281185	41286681	XM_011514697.1	2.724	-	TREM1
chr6	41267384	41286681	XM_017010957.1	2.724	-	TREM1
chr2	101007227	101110348	XM_017003198.2	2.724	-	TBC1D8
chr2	95085368	95121807	NM_001321996.2	2.724	-	MRPS5
chr2	95085368	95121807	NM_031902.5	2.724	-	MRPS5
chr14	77800108	77935013	NM_001142545.2	2.724	+	ADCK1
chr14	77800108	77935013	NM_001366485.2	2.724	+	ADCK1
chr14	77800108	77935013	NM_001366486.2	2.724	+	ADCK1
chr14	77800108	77935013	NM_001366487.2	2.724	+	ADCK1
chr14	77800108	77935013	NM_001366488.2	2.724	+	ADCK1
chr14	77800108	77935013	NM_001366489.2	2.724	+	ADCK1
chr14	77800108	77935013	NM_001366490.2	2.724	+	ADCK1
chr14	77800108	77935013	NM_020421.4	2.724	+	ADCK1
chr22	38734726	38756013	XM_011530104.2	2.724	-	SUN2
chr22	38736609	38756013	XM_017028748.1	2.724	-	SUN2
chr2	101007227	101110346	XM_017003199.2	2.724	-	TBC1D8
chr6	149658152	149717925	XM_024446583.1	2.724	-	LATS1
chr13	36432438	36442869	XM_011535296.2	2.724	+	CCNA1
chr6	136557045	136792476	NM_005923.4	2.724	-	MAP3K5
chr1	27534244	27604143	NM_001371928.1	2.724	-	AHDC1
chr19	48619533	48630406	XM_011527133.1	2.724	+	SPHK2
chr19	14529547	14565979	XM_024451790.1	2.724	+	TECR
chr1	27534248	27604141	XM_024446461.1	2.724	-	AHDC1
chr10	17451296	17455965	XM_017016175.1	2.723	-	ST8SIA6
chr12	132625016	132660961	XM_011534802.3	2.723	-	POLE
chr19	14562027	14565979	XM_024451798.1	2.723	+	TECR
chr17	78131507	78142967	XM_024450617.1	2.722	+	TMC8
chr17	78131507	78142967	XM_024450618.1	2.722	+	TMC8
chr17	78131507	78142967	XM_024450619.1	2.722	+	TMC8
chr17	78131507	78142967	XM_024450620.1	2.722	+	TMC8
chr17	78131507	78142967	XM_024450621.1	2.722	+	TMC8
chr17	78131507	78142967	XM_024450622.1	2.722	+	TMC8
chr17	78131507	78142967	XM_024450623.1	2.722	+	TMC8
chr17	78131507	78138478	XM_024450624.1	2.722	+	TMC8
chr17	78131507	78136816	XM_024450625.1	2.722	+	TMC8
chr17	78131507	78137626	XM_024450626.1	2.722	+	TMC8
chr17	78131507	78137227	XM_024450627.1	2.722	+	TMC8
chr13	36432271	36442881	NM_001111045.1	2.722	+	CCNA1
chr14	77800063	77902746	XM_011536987.2	2.722	+	ADCK1
chr14	77800063	77902746	XM_011536988.2	2.722	+	ADCK1
chr2	101006434	101110336	XM_005263862.4	2.722	-	TBC1D8
chr4	87975713	87983410	NM_001040058.2	2.722	+	SPP1
chr16	66880514	66891100	NM_001329928.2	2.722	+	PDP2
chr16	66880514	66891100	NM_001329929.2	2.722	+	PDP2
chr16	66880514	66891100	NM_001329930.2	2.722	+	PDP2
chr16	66880514	66891100	NM_001329931.2	2.722	+	PDP2
chr16	66880514	66891100	NM_001329932.2	2.722	+	PDP2
chr16	66880514	66891100	NM_001329933.2	2.722	+	PDP2
chr16	66880514	66891100	NM_001329934.2	2.722	+	PDP2
chr16	66880514	66891100	NM_020786.4	2.722	+	PDP2
chr2	101007227	101110333	XM_005263864.4	2.722	-	TBC1D8
chr7	23298743	23309572	XM_017011731.1	2.721	+	MALSU1
chr10	14518556	14604400	NM_001282696.2	2.721	-	FAM107B
chr10	14518556	14604400	NM_001282697.2	2.721	-	FAM107B
chrX	1336573	1382688	XM_017029491.2	2.721	+	IL3RA
chr19	48615330	48619177	NM_000979.4	2.721	-	RPL18
chr19	48615330	48619177	NM_001270490.2	2.721	-	RPL18
chr1	110593579	110631535	XM_011541398.2	2.721	-	KCNA2
chrX	1336574	1382688	XM_005274431.5	2.721	+	IL3RA
chr22	42796528	42857293	XM_005261525.4	2.721	-	ARFGAP3
chr11	62602217	62612545	XM_017017480.1	2.721	-	EML3
chr11	62602217	62612545	XM_017017482.1	2.721	-	EML3
chr1	51287311	51322262	XM_011541049.2	2.721	-	TTC39A
chr1	51287257	51322267	NM_001080494.3	2.721	-	TTC39A
chr1	51287257	51322267	NM_001297665.1	2.721	-	TTC39A
chr13	36431829	36442881	NM_001111046.1	2.720	+	CCNA1
chr13	36431829	36442881	NM_001111047.1	2.720	+	CCNA1
chr17	43025490	43032040	XM_011525317.2	2.720	+	RND2
chr16	57694805	57731804	NM_001289162.2	2.720	+	DRC7
chr16	57694805	57731804	NM_001289163.2	2.720	+	DRC7
chr16	57694805	57731804	NM_032269.6	2.720	+	DRC7
chr22	42796501	42857272	NM_001142293.2	2.720	-	ARFGAP3
chr22	42796501	42857272	NM_014570.5	2.720	-	ARFGAP3
chr11	69048931	69090596	NM_139075.4	2.720	+	TPCN2
chr19	12525372	12551481	NM_144976.4	2.720	-	ZNF564
chr19	10092336	10102748	NM_031917.2	2.720	-	ANGPTL6
chr1	108648294	108661425	XM_017000179.1	2.719	-	HENMT1
chr7	73702186	73719672	XM_017012567.2	2.719	-	STX1A
chr7	73699209	73719668	NM_001165903.2	2.719	-	STX1A
chr7	73699209	73719668	NM_004603.4	2.719	-	STX1A
chr20	46540945	46550653	NM_080721.3	2.719	-	OCSTAMP
chr18	5289018	5297052	NM_001243704.1	2.719	-	ZBTB14
chr2	233363174	233472097	XM_011512031.3	2.719	+	DGKD
chr19	14561953	14565979	XM_024451800.1	2.719	+	TECR
chr17	43006783	43014455	NM_001330230.2	2.718	+	IFI35
chr17	43006783	43014455	NM_005533.5	2.718	+	IFI35
chr17	78132488	78139725	XM_017024243.1	2.718	+	TMC8
chr17	78112917	78132426	NM_007267.7	2.718	-	TMC6
chr1	27534248	27604066	XM_005245848.3	2.718	-	AHDC1
chr1	27534248	27604066	XM_005245849.3	2.718	-	AHDC1
chr1	27534248	27604066	XM_005245850.3	2.718	-	AHDC1
chr1	27534248	27604066	XM_005245851.3	2.718	-	AHDC1
chr1	27534248	27604066	XM_005245852.3	2.718	-	AHDC1
chr1	27534248	27604066	XM_011541256.2	2.718	-	AHDC1
chr11	62789970	62792005	NM_001080501.3	2.718	-	TMEM223
chr15	90352283	90362846	NM_001004309.3	2.718	+	ZNF774
chr11	62593213	62601249	NM_001330292.2	2.717	-	MTA2
chr6	26158007	26159201	XM_005249039.4	2.717	+	H2BC5
chr1	17308194	17364003	XM_011541151.1	2.717	+	PADI4
chr1	17308194	17354620	XM_011541153.1	2.717	+	PADI4
chr1	17308194	17356052	XM_011541154.2	2.717	+	PADI4
chr1	17308194	17349490	XM_011541155.1	2.717	+	PADI4
chr1	17308194	17356073	XM_011541156.1	2.717	+	PADI4
chr19	35902364	35904270	XM_017026193.1	2.717	+	HCST
chr1	17308196	17364003	NM_012387.3	2.717	+	PADI4
chr1	17308196	17364003	XM_011541150.1	2.717	+	PADI4
chr19	34736089	34746482	XM_017026740.1	2.717	+	ZNF181
chr10	43385616	43407850	NM_001098206.1	2.716	-	HNRNPF
chr17	80288327	80395311	XM_017024905.2	2.716	+	RNF213
chr6	33279107	33289238	NM_001164267.2	2.716	-	WDR46
chr6	33279107	33289238	NM_005452.6	2.716	-	WDR46
chr6	33278206	33289237	XM_017011484.2	2.716	-	WDR46
chr19	14514763	14517861	NM_001300914.1	2.716	-	DNAJB1
chr12	121020291	121039241	NM_001261825.1	2.716	-	OASL
chr12	121020291	121039241	NM_003733.3	2.716	-	OASL
chr12	121020291	121039241	NM_198213.2	2.716	-	OASL
chr15	90352302	90362822	XM_017022127.1	2.716	+	ZNF774
chrX	19535406	19887574	XM_011545498.3	2.716	-	SH3KBP1
chrX	19533976	19887574	XM_011545500.3	2.716	-	SH3KBP1
chrX	19591061	19887574	XM_011545503.3	2.716	-	SH3KBP1
chrX	19535406	19887574	XM_017029465.2	2.716	-	SH3KBP1
chrX	19533976	19887574	XM_017029468.2	2.716	-	SH3KBP1
chrX	19533976	19887591	XM_017029467.2	2.716	-	SH3KBP1
chrX	19533976	19887592	XM_017029464.2	2.716	-	SH3KBP1
chrX	19533976	19887599	NM_001353890.2	2.716	-	SH3KBP1
chrX	19533976	19887599	NM_001353891.2	2.716	-	SH3KBP1
chrX	19533976	19887599	NM_001353892.2	2.716	-	SH3KBP1
chrX	19533976	19887599	NM_031892.3	2.716	-	SH3KBP1
chr1	108648287	108661525	NM_144584.2	2.716	-	HENMT1
chr11	94567367	94621420	NM_152431.3	2.715	+	PIWIL4
chr10	92826830	93059493	NM_001013848.3	2.714	+	EXOC6
chr1	36322029	36323450	XM_017001627.1	2.714	-	EVA1B
chr1	5862809	5991907	XM_011541216.2	2.714	-	NPHP4
chr1	5862809	5991907	XM_011541217.2	2.714	-	NPHP4
chr6	15374176	15522023	XM_017010835.2	2.714	+	JARID2
chr17	28724356	28727704	XM_011524278.3	2.714	-	TLCD1
chr2	200853008	200864560	NM_001162407.1	2.714	-	CLK1
chr5	96768314	96935982	XM_011543480.2	2.714	-	ERAP1
chr5	96768314	96935982	XM_011543481.2	2.714	-	ERAP1
chr5	96768314	96935982	XM_011543484.2	2.714	-	ERAP1
chr5	96768314	96935982	XM_011543485.2	2.714	-	ERAP1
chr5	96774483	96935982	XM_011543486.3	2.714	-	ERAP1
chr5	96768314	96935982	XM_017009581.1	2.714	-	ERAP1
chr5	96768314	96935982	XM_024446113.1	2.714	-	ERAP1
chr10	48574272	48656264	NM_001347736.1	2.713	-	ARHGAP22
chr10	48446035	48656264	NM_001347738.2	2.713	-	ARHGAP22
chr5	160421854	160428738	NM_004219.4	2.713	+	PTTG1
chr20	4780022	4803478	XM_011529412.2	2.713	-	RASSF2
chr16	11547721	11586949	NM_001136472.1	2.713	-	LITAF
chr16	11547721	11586949	NM_001136473.1	2.713	-	LITAF
chr7	100874970	100888663	XM_017012290.1	2.712	+	SRRT
chr7	100874970	100888663	XM_017012291.1	2.712	+	SRRT
chr7	100874970	100888663	XM_024446794.1	2.712	+	SRRT
chr5	160421865	160428739	XM_024446260.1	2.712	+	PTTG1
chr1	36322029	36323644	NM_001304762.2	2.712	-	EVA1B
chr1	38012715	38023807	XM_011541555.2	2.711	+	UTP11
chr14	55271896	55353610	XM_006720185.3	2.711	+	FBXO34
chr17	7288253	7294524	XM_017024713.2	2.711	-	YBX2
chr11	62602217	62612710	XM_017017481.2	2.711	-	EML3
chr10	74151220	74709289	NM_001369123.1	2.711	+	ADK
chr10	74151220	74709289	NM_006721.4	2.711	+	ADK
chr19	14514763	14529321	NM_001313964.1	2.711	-	DNAJB1
chr20	3082555	3084723	NM_000490.5	2.711	-	AVP
chrX	101408132	101414139	NM_001032393.2	2.711	+	HNRNPH2
chr17	7288262	7294638	NM_015982.4	2.710	-	YBX2
chr1	236518213	236552980	NM_201545.2	2.710	+	LGALS8
chr16	69355566	69386006	NM_005652.5	2.709	-	TERF2
chr16	69355566	69386003	XM_005256121.3	2.709	-	TERF2
chr16	69355566	69386003	XM_005256122.3	2.709	-	TERF2
chr16	69355566	69386003	XM_005256123.3	2.709	-	TERF2
chr16	69355627	69386003	XM_005256124.4	2.709	-	TERF2
chr19	11355417	11365697	XM_024451655.1	2.709	+	PLPPR2
chr11	62612740	62615119	NM_000327.3	2.709	+	ROM1
chr19	11355419	11365697	XM_005260017.2	2.709	+	PLPPR2
chr8	89903065	89935613	XM_011517287.3	2.709	+	OSGIN2
chr19	14514770	14529291	XM_006722733.2	2.709	-	DNAJB1
chr16	27210182	27222304	XM_017023680.1	2.709	+	KDM8
chr15	58595393	58748965	XM_024449818.1	2.709	-	ADAM10
chr19	11355423	11365697	XM_017027147.1	2.709	+	PLPPR2
chr19	11355423	11365697	XM_024451654.1	2.709	+	PLPPR2
chr1	38012733	38024819	NM_016037.4	2.709	+	UTP11
chr19	11355430	11365697	XM_017027148.1	2.709	+	PLPPR2
chr19	11355431	11365697	NM_001170635.2	2.709	+	PLPPR2
chr19	11355431	11365697	NM_022737.3	2.709	+	PLPPR2
chr1	154321092	154325324	NM_080429.3	2.709	+	AQP10
chrX	101397790	101408012	NM_000169.2	2.708	-	GLA
chr11	62602217	62612753	XM_005273878.4	2.708	-	EML3
chr19	10432434	10469630	NM_001111309.1	2.708	+	PDE4A
chr7	101162514	101169955	XM_011516549.3	2.708	-	VGF
chrX	101408221	101414132	NM_019597.5	2.708	+	HNRNPH2
chr19	14514770	14529271	XM_011527956.3	2.708	-	DNAJB1
chr11	61946729	61964461	XM_011545230.3	2.708	+	BEST1
chr17	28724023	28727929	XM_006721671.4	2.708	-	TLCD1
chr5	160421909	160428743	NM_001282382.1	2.708	+	PTTG1
chr5	160421909	160428743	NM_001282383.1	2.708	+	PTTG1
chr16	11547991	11587288	XM_006720982.3	2.707	-	LITAF
chr14	55272153	55353082	NM_152231.1	2.707	+	FBXO34
chr14	55272153	55353610	XM_017021391.1	2.707	+	FBXO34
chr11	62602217	62612774	NM_001300793.2	2.707	-	EML3
chr11	62602217	62612774	NM_001300794.2	2.707	-	EML3
chr11	62602217	62612774	NM_153265.3	2.707	-	EML3
chr1	154321058	154325324	XM_011510104.2	2.707	+	AQP10
chr9	21077103	21077941	NM_002176.4	2.707	-	IFNB1
chr17	40340048	40357642	XM_011525096.1	2.707	+	RARA
chr17	9910669	10059815	XM_005256832.4	2.707	-	GAS7
chr11	61946721	61964461	XM_011545229.3	2.707	+	BEST1
chr1	114392789	114511202	NM_015906.4	2.706	-	TRIM33
chr1	114392789	114511202	NM_033020.3	2.706	-	TRIM33
chr11	62615295	62621985	NM_001288721.2	2.706	-	B3GAT3
chr11	62615295	62621985	NM_001288722.2	2.706	-	B3GAT3
chr11	62615295	62621985	NM_001288723.2	2.706	-	B3GAT3
chr11	62615295	62621985	NM_012200.4	2.706	-	B3GAT3
chr19	45071499	45076477	NM_145288.3	2.706	-	ZNF296
chr6	26158120	26158606	NM_021063.3	2.706	+	H2BC5
chr6	26158120	26171348	NM_138720.2	2.706	+	H2BC5
chr7	100875102	100888663	NM_001128852.2	2.706	+	SRRT
chr7	100875102	100888663	NM_001128853.2	2.706	+	SRRT
chr7	100875102	100888663	NM_001128854.2	2.706	+	SRRT
chr7	100875102	100888663	NM_015908.6	2.706	+	SRRT
chr16	477502	522484	XM_011522764.2	2.706	+	RAB11FIP3
chr12	389349	442641	NM_001130147.1	2.705	+	CCDC77
chr1	114392786	114511191	XM_005270936.4	2.705	-	TRIM33
chr1	114392786	114511191	XM_005270937.4	2.705	-	TRIM33
chr1	114392786	114511191	XM_011541568.3	2.705	-	TRIM33
chr1	114421493	114511191	XM_017001454.2	2.705	-	TRIM33
chr12	389346	442641	NM_001130148.2	2.705	+	CCDC77
chr19	35887951	35902302	NM_032721.3	2.705	-	NFKBID
chr7	1530701	1543042	NM_002360.4	2.705	+	MAFK
chr17	9910669	10059778	XM_005256835.4	2.705	-	GAS7
chr3	177020753	177197157	XM_024453752.1	2.704	-	TBL1XR1
chr10	90738692	90777195	XM_024447973.1	2.704	-	HTR7
chr10	74151184	74709302	NM_001202450.1	2.704	+	ADK
chr10	74151184	74602916	XM_017015698.1	2.704	+	ADK
chr10	74151184	74528510	XM_017015704.1	2.704	+	ADK
chr10	74151184	74709299	XM_017015705.1	2.704	+	ADK
chr12	6346842	6377356	NM_001159575.1	2.704	-	SCNN1A
chr11	118897757	118922587	XM_017017573.1	2.704	-	BCL9L
chr17	40340147	40357642	XM_005257552.5	2.704	+	RARA
chr19	44954584	44993345	NM_001282176.1	2.704	+	CLPTM1
chr1	23506427	23531249	XM_011540871.2	2.703	-	E2F2
chr15	78437430	78501455	NM_001354994.1	2.703	+	IREB2
chr13	28385547	28495127	NM_001159920.2	2.703	-	FLT1
chr13	28368091	28495127	NM_001160030.2	2.703	-	FLT1
chr13	28399043	28495127	NM_001160031.1	2.703	-	FLT1
chr13	28300345	28495127	NM_002019.4	2.703	-	FLT1
chr13	28383194	28495127	XM_011535014.1	2.703	-	FLT1
chr13	28300345	28495127	XM_017020485.1	2.703	-	FLT1
chr17	47694080	47712057	XM_005257859.4	2.703	+	TBKBP1
chr1	23506437	23531232	NM_004091.4	2.703	-	E2F2
chr1	9103389	9129123	XM_005263496.5	2.703	-	GPR157
chr1	9103389	9129123	XM_005263497.5	2.703	-	GPR157
chr2	127048022	127084549	NM_001320642.1	2.702	-	BIN1
chr19	10092338	10102656	NM_001321411.1	2.702	-	ANGPTL6
chrX	130064873	130110890	NM_001127197.2	2.702	-	ELF4
chr5	96936079	97037512	NM_005575.3	2.702	+	LNPEP
chr3	49805204	49813941	XM_005265430.2	2.702	-	UBA7
chr3	49805204	49813941	XM_006713321.2	2.702	-	UBA7
chr3	49805204	49813941	XM_011534070.1	2.702	-	UBA7
chr3	49805204	49813941	XM_011534071.1	2.702	-	UBA7
chr3	49805204	49813941	XM_011534072.1	2.702	-	UBA7
chr3	49805204	49813941	XM_024453740.1	2.702	-	UBA7
chr7	100140176	100154211	XM_024446760.1	2.702	+	LAMTOR4
chr7	100140176	100154211	XM_024446761.1	2.702	+	LAMTOR4
chr17	1762803	1777573	NM_001329903.1	2.701	+	SERPINF1
chr3	177020753	177197191	XM_011513141.1	2.701	-	TBL1XR1
chr1	159009906	159055150	NM_001206567.2	2.701	+	IFI16
chr1	159009906	159055150	NM_005531.3	2.701	+	IFI16
chr1	159009906	159055154	XM_006711290.2	2.701	+	IFI16
chr1	159009906	159049343	XM_017001150.2	2.701	+	IFI16
chr1	9100304	9129101	NM_024980.5	2.701	-	GPR157
chr22	17178789	17219434	NM_001282225.2	2.701	-	ADA2
chr22	17178789	17219434	NM_001282226.2	2.701	-	ADA2
chr22	17178789	17219434	NM_001282228.2	2.701	-	ADA2
chr3	169966135	169996460	XM_011513114.3	2.701	+	SEC62
chr6	16129094	16148247	XM_005249033.3	2.701	+	MYLIP
chr1	108648294	108661102	XM_005270411.1	2.701	-	HENMT1
chr19	5122638	5153602	XM_011527816.2	2.701	+	KDM4B
chr3	49805208	49813952	NM_003335.3	2.701	-	UBA7
chr12	280056	389319	NM_001042603.3	2.701	-	KDM5A
chr6	16129085	16148247	NM_013262.4	2.701	+	MYLIP
chr6	16129085	16148247	XM_005249032.2	2.701	+	MYLIP
chr6	16129085	16151014	XM_017010789.1	2.701	+	MYLIP
chr17	7012416	7014532	NM_001004333.4	2.700	+	RNASEK
chr12	121018881	121038976	XM_017020140.1	2.700	-	OASL
chr12	121018925	121038976	XM_017020141.1	2.700	-	OASL
chr12	31659202	31673113	NM_173802.4	2.700	+	ETFBKMT
chr17	47694064	47712057	XM_005257862.3	2.700	+	TBKBP1
chr1	108648294	108661092	NM_001102592.2	2.700	-	HENMT1
chr19	4324042	4338876	XM_011528123.1	2.700	-	STAP2
chr12	49002271	49018811	XM_011538562.2	2.700	-	PRKAG1
chr3	177020753	177197206	XM_011513142.2	2.700	-	TBL1XR1
chr12	49002271	49018808	XM_017019623.1	2.700	-	PRKAG1
chr17	77958852	78106126	XM_024450848.1	2.700	+	TNRC6C
chr19	9810269	9819078	NM_001316936.2	2.700	-	FBXL12
chr19	9810269	9819078	NM_001316937.2	2.700	-	FBXL12
